Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
1825,Find Minimum Time to Finish All Jobs,Hard,Minimum Number of Work Sessions to Finish the Tasks,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask"
1826,Maximum XOR With an Element From Array,Hard,"Maximum XOR of Two Numbers in an Array,Maximum Genetic Difference Query","Array,Bit Manipulation,Trie"
1827,Invalid Tweets,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1828,Count Ways to Distribute Candies,Hard,"Student Attendance Record II,Non-negative Integers without Consecutive Ones,Number of Ways to Paint N × 3 Grid,Painting a Grid With Three Different Colors,Best Time to Buy and Sell Stock III",Dynamic Programming
1829,Maximum Units on a Truck,Easy,"Maximize Sum Of Array After K Negations,Minimum Subsequence in Non-Increasing Order,Minimum Cost of Buying Candies With Discount,Largest Perimeter Triangle,Wiggle Sort","Array,Greedy,Sorting"
1830,Count Good Meals,Medium,"Two Sum,Max Number of K-Sum Pairs,Find All Possible Recipes from Given Supplies","Array,Hash Table"
1831,Ways to Split Array Into Three Subarrays,Medium,Number of Ways to Divide a Long Corridor,"Array,Two Pointers,Binary Search,Prefix Sum"
1832,Minimum Operations to Make a Subsequence,Hard,"Maximum Running Time of N Computers,Capacity To Ship Packages Within D Days,First Missing Positive,Grid Illumination,Split Array Largest Sum","Array,Hash Table,Binary Search,Greedy"
1833,Find the Highest Altitude,Easy,"Find Pivot Index,Find the Middle Index in Array,Product of Array Except Self,Range Addition,Describe the Painting","Array,Prefix Sum"
1834,Minimum Number of People to Teach,Medium,"Gas Station,Increasing Triplet Subsequence,Maximize the Topmost Element After K Moves,Maximum Number of Consecutive Values You Can Make,Maximum Number of People That Can Be Caught in Tag","Array,Greedy"
1835,Decode XORed Permutation,Medium,"Single Number II,Single Number III,Minimum Flips to Make a OR b Equal to c,Total Hamming Distance,Single Number","Array,Bit Manipulation"
1836,Count Ways to Make Array With Product,Hard,"Digit Count in Range,Number of Ways to Divide a Long Corridor,Number of Smooth Descent Periods of a Stock,Best Time to Buy and Sell Stock III,Best Time to Buy and Sell Stock IV","Array,Math,Dynamic Programming"
1837,Daily Leads and Partners,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1838,Number of Distinct Substrings in a String,Medium,"Longest Common Subpath,Sum of Scores of Built Strings,Maximum Product of the Length of Two Palindromic Substrings,Strings Differ by One Character,Unique Substrings With Equal Digit Frequency","String,Trie,Rolling Hash,Suffix Array,Hash Function"
1839,Decode XORed Array,Easy,"Single Number,Number of 1 Bits,Hamming Distance,Binary Number with Alternating Bits,Minimum Bit Flips to Convert Number","Array,Bit Manipulation"
1840,Minimize Hamming Distance After Swap Operations,Medium,Smallest String With Swaps,"Array,Depth-First Search,Union Find"
1842,Number of Calls Between Two Persons,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1843,Number Of Rectangles That Can Form The Largest Square,Easy,"Missing Ranges,Summary Ranges,Max Consecutive Ones,Longest Continuous Increasing Subsequence,1-bit and 2-bit Characters",Array
1844,Maximum Number of Balls in a Box,Easy,"Number of Good Pairs,Count Nice Pairs in an Array,Count Number of Pairs With Absolute Difference K,Most Frequent Number Following Key In an Array,Ransom Note","Hash Table,Math,Counting"
1845,Largest Submatrix With Rearrangements,Medium,Max Area of Island,"Array,Greedy,Sorting,Matrix"
1847,Largest Subarray Length K,Easy,"Can Place Flowers,Partition Array Into Three Parts With Equal Sum,Minimum Operations to Make the Array Increasing,Two Furthest Houses With Different Colors,Minimum Cost to Move Chips to The Same Position","Array,Greedy"
1848,Sum of Unique Elements,Easy,"Count Number of Pairs With Absolute Difference K,Most Frequent Number Following Key In an Array,Kth Distinct String in an Array,Count Common Words With One Occurrence,Number of Good Pairs","Array,Hash Table,Counting"
1849,Maximum Absolute Sum of Any Subarray,Medium,Maximum Subarray,"Array,Dynamic Programming"
1850,Minimum Length of String After Deleting Similar Ends,Medium,"Reverse Words in a String,One Edit Distance,Reverse Words in a String II,String Compression,Next Greater Element III","Two Pointers,String"
1851,Maximum Number of Events That Can Be Attended II,Hard,"Maximum Number of Events That Can Be Attended,Maximum Earnings From Taxi,Two Best Non-Overlapping Events","Array,Binary Search,Dynamic Programming"
1852,Biggest Window Between Visits,Medium,Users With Two Purchases Within Seven Days,Database
1858,Latest Time by Replacing Hidden Digits,Easy,"Minimum Time to Type Word Using Special Typewriter,Minimum Number of Operations to Convert Time,Can Place Flowers,Partition Array Into Three Parts With Equal Sum,Minimum Operations to Make the Array Increasing","String,Greedy"
1859,Change Minimum Characters to Satisfy One of Three Conditions,Medium,"Substrings That Begin and End With the Same Letter,Number of Equal Count Substrings,Contiguous Array,Subarray Sum Equals K,Subarray Sums Divisible by K","Hash Table,String,Counting,Prefix Sum"
1860,Find Kth Largest XOR Coordinate Value,Medium,"Kth Largest Element in an Array,Find the Kth Largest Integer in the Array,K Closest Points to Origin,Wiggle Sort II,Top K Frequent Elements","Array,Divide and Conquer,Bit Manipulation,Heap (Priority Queue),Matrix,Prefix Sum,Quickselect"
1861,Building Boxes,Hard,"Preimage Size of Factorial Zeroes Function,Maximum Running Time of N Computers,Capacity To Ship Packages Within D Days,Kth Smallest Number in Multiplication Table,Split Array Largest Sum","Math,Binary Search,Greedy"
1862,Count Apples and Oranges,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1865,Checking Existence of Edge Length Limited Paths II,Hard,Checking Existence of Edge Length Limited Paths,"Union Find,Graph,Minimum Spanning Tree"
1866,Restore the Array From Adjacent Pairs,Medium,"Maximum Size Subarray Sum Equals k,Find All Duplicates in an Array,4Sum II,Brick Wall,Count Good Meals","Array,Hash Table"
1871,Palindrome Partitioning IV,Hard,"Palindrome Partitioning,Palindrome Partitioning II,Palindrome Partitioning III","String,Dynamic Programming"
1872,Can You Eat Your Favorite Candy on Your Favorite Day?,Medium,"Product of Array Except Self,Range Addition,Describe the Painting,Maximum Sum Score of Array,Find Pivot Index","Array,Prefix Sum"
1873,Longest Nice Substring,Easy,"Contains Duplicate II,Longest Substring Without Repeating Characters,Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Longest Repeating Character Replacement","Hash Table,String,Bit Manipulation,Sliding Window"
1874,Form Array by Concatenating Subarrays of Another Array,Medium,"Repeated String Match,Repeated Substring Pattern,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Maximum Repeating Substring,Add Bold Tag in String","Array,Greedy,String Matching"
1875,Tree of Coprimes,Hard,"Serialize and Deserialize N-ary Tree,Tree Diameter,Time Needed to Inform All Employees,Maximum Depth of N-ary Tree,Nested List Weight Sum","Math,Tree,Depth-First Search,Breadth-First Search"
1876,Map of Highest Peak,Medium,"Walls and Gates,Shortest Path to Get Food,Rotting Oranges,Shortest Distance from All Buildings,Shortest Path in a Grid with Obstacles Elimination","Array,Breadth-First Search,Matrix"
1877,Find Followers Count,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1878,Check if Array Is Sorted and Rotated,Easy,Check if All A's Appears Before All B's,Array
1879,Maximum Score From Removing Stones,Medium,"Minimum Cost to Connect Sticks,Maximum Number of Events That Can Be Attended,Minimum Operations to Halve Array Sum,Maximum Product After K Increments,Longest Happy String","Math,Greedy,Heap (Priority Queue)"
1880,Largest Merge Of Two Strings,Medium,"Minimum Adjacent Swaps to Reach the Kth Smallest Number,Valid Palindrome II,Container With Most Water,Minimum Number of Swaps to Make the String Balanced,Reverse Words in a String","Two Pointers,String,Greedy"
1881,Closest Subsequence Sum,Hard,"Minimize the Difference Between Target and Chosen Elements,Partition Array Into Two Arrays to Minimize Sum Difference","Array,Two Pointers,Dynamic Programming,Bit Manipulation,Bitmask"
1882,The Number of Employees Which Report to Each Employee,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1883,Find Distance in a Binary Tree,Medium,Step-By-Step Directions From a Binary Tree Node to Another,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree"
1884,Minimum Changes To Make Alternating Binary String,Easy,"Flip Game,Detect Capital,Longest Uncommon Subsequence I,Student Attendance Record I,To Lower Case",String
1885,Count Number of Homogenous Substrings,Medium,"Consecutive Characters,Number of Substrings With Only 1s,Sum of Subarray Ranges","Math,String"
1886,Minimum Limit of Balls in a Bag,Medium,"Maximum Candies Allocated to K Children,Minimized Maximum of Products Distributed to Any Store","Array,Binary Search"
1887,Minimum Degree of a Connected Trio in a Graph,Hard,"Paths in Maze That Lead to Same Room,Minimum Cost to Reach Destination in Time,Minimum Operations to Remove Adjacent Ones in Matrix,Maximum Path Quality of a Graph,Process Restricted Friend Requests",Graph
1888,Find Nearest Point That Has the Same X or Y Coordinate,Easy,K Closest Points to Origin,Array
1889,Check if Number is a Sum of Powers of Three,Medium,Power of Three,Math
1890,Sum of Beauty of All Substrings,Medium,Substrings That Begin and End With the Same Letter,"Hash Table,String,Counting"
1891,Count Pairs Of Nodes,Hard,"Find K-th Smallest Pair Distance,Two Sum II - Input Array Is Sorted,Sum of Square Numbers,Maximum Total Beauty of the Gardens,3Sum Smaller","Two Pointers,Binary Search,Graph"
1892,Find Total Time Spent by Each Employee,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1893,Maximum Subarray Sum After One Operation,Medium,Maximum Subarray,"Array,Dynamic Programming"
1894,Merge Strings Alternately,Easy,Zigzag Iterator,"Two Pointers,String"
1895,Minimum Number of Operations to Move All Balls to Each Box,Medium,Minimum Cost to Move Chips to The Same Position,"Array,String"
1896,Maximum Score from Performing Multiplication Operations,Medium,"Maximum Points You Can Obtain from Cards,Stone Game VII","Array,Dynamic Programming"
1897,Maximize Palindrome Length From Subsequences,Hard,Longest Palindromic Subsequence,"String,Dynamic Programming"
1898,Leetflex Banned Accounts,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1899,Count Items Matching a Rule,Easy,"Shortest Word Distance,Check If Two String Arrays are Equivalent,Maximum Number of Words Found in Sentences,Counting Words With a Given Prefix,Flip Game","Array,String"
1900,Closest Dessert Cost,Medium,"Target Sum,Generate Parentheses,Palindrome Partitioning,Combination Sum,Combination Sum II","Array,Dynamic Programming,Backtracking"
1901,Equal Sum Arrays With Minimum Number of Operations,Medium,Number of Dice Rolls With Target Sum,"Array,Hash Table,Greedy,Counting"
1902,Car Fleet II,Hard,"Car Fleet,Count Collisions on a Road","Array,Math,Stack,Heap (Priority Queue),Monotonic Stack"
1903,Design Most Recently Used Queue,Medium,LRU Cache,"Array,Hash Table,Stack,Design,Binary Indexed Tree,Ordered Set"
1904,Second Largest Digit in a String,Easy,"Isomorphic Strings,Word Pattern,Buddy Strings,Uncommon Words from Two Sentences,Count Vowel Substrings of a String","Hash Table,String"
1905,Design Authentication Manager,Medium,"Finding Pairs With a Certain Sum,Design Bitset,Design Underground System,Unique Word Abbreviation,Logger Rate Limiter","Hash Table,Design"
1906,Maximize Score After N Operations,Hard,"Number of Squareful Arrays,Find Minimum Time to Finish All Jobs,Stickers to Spell Word,Maximum Score Words Formed by Letters,Split Array With Same Average","Array,Math,Dynamic Programming,Backtracking,Bit Manipulation,Number Theory,Bitmask"
1907,Count Pairs With XOR in a Range,Hard,"Maximum XOR With an Element From Array,Maximum Genetic Difference Query,Maximum XOR of Two Numbers in an Array,Single Number II,Single Number III","Array,Bit Manipulation,Trie"
1908,Recyclable and Low Fat Products,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1909,Buildings With an Ocean View,Medium,Number of Visible People in a Queue,"Array,Stack,Monotonic Stack"
1910,Check if Binary String Has at Most One Segment of Ones,Easy,Longer Contiguous Segments of Ones than Zeros,String
1911,Minimum Elements to Add to Form a Given Sum,Medium,"Gas Station,Increasing Triplet Subsequence,Maximize the Topmost Element After K Moves,Maximum Number of Consecutive Values You Can Make,Maximum Number of People That Can Be Caught in Tag","Array,Greedy"
1912,Number of Restricted Paths From First to Last Node,Medium,All Ancestors of a Node in a Directed Acyclic Graph,"Dynamic Programming,Graph,Topological Sort,Heap (Priority Queue),Shortest Path"
1913,Make the XOR of All Segments Equal to Zero,Hard,"Counting Bits,Smallest Sufficient Team,Number of Ways to Wear Different Hats to Each Other,Minimum XOR Sum of Two Arrays,Maximum AND Sum of Array","Array,Dynamic Programming,Bit Manipulation"
1914,Find the Subtasks That Did Not Execute,Hard,"Trips and Users,Median Employee Salary,Find Median Given Frequency of Numbers,Average Salary: Departments VS Company,Game Play Analysis V",Database
1915,Check if One String Swap Can Make Strings Equal,Easy,Buddy Strings,"Hash Table,String,Counting"
1916,Find Center of Star Graph,Easy,"Paths in Maze That Lead to Same Room,Find the Town Judge,Minimum Cost to Reach Destination in Time,Minimum Operations to Remove Adjacent Ones in Matrix,Maximum Path Quality of a Graph",Graph
1917,Maximum Average Pass Ratio,Medium,"Minimum Cost to Connect Sticks,Maximum Number of Events That Can Be Attended,Minimum Operations to Halve Array Sum,Maximum Product After K Increments,Longest Happy String","Array,Greedy,Heap (Priority Queue)"
1918,Maximum Score of a Good Subarray,Hard,Largest Rectangle in Histogram,"Array,Two Pointers,Binary Search,Stack,Monotonic Stack"
1919,Sort Features by Popularity,Medium,"Top K Frequent Elements,Top K Frequent Words","Array,Hash Table,String,Sorting"
1920,Determine Color of a Chessboard Square,Easy,"Excel Sheet Column Title,Excel Sheet Column Number,Greatest Common Divisor of Strings,Palindrome Number,Ugly Number","Math,String"
1923,Sentence Similarity III,Medium,"Reverse Words in a String,One Edit Distance,Reverse Words in a String II,String Compression,Next Permutation","Array,Two Pointers,String"
1924,Maximum Number of Groups Getting Fresh Donuts,Hard,"Partition to K Equal Sum Subsets,Minimum One Bit Operations to Make Integers Zero,Smallest Sufficient Team,Number of Ways to Wear Different Hats to Each Other,Minimum XOR Sum of Two Arrays","Array,Dynamic Programming,Bit Manipulation,Memoization,Bitmask"
1925,Count Nice Pairs in an Array,Medium,Number of Pairs of Interchangeable Rectangles,"Array,Hash Table,Math,Counting"
1926,Product's Price for Each Store,Easy,Rearrange Products Table,Database
1927,Maximum Ascending Subarray Sum,Easy,Find Good Days to Rob the Bank,Array
1928,Number of Orders in the Backlog,Medium,"Find K Pairs with Smallest Sums,Process Tasks Using Servers,Remove Stones to Minimize the Total,Single-Threaded CPU,Minimum Cost to Connect Sticks","Array,Heap (Priority Queue),Simulation"
1929,Maximum Value at a Given Index in a Bounded Array,Medium,"Capacity To Ship Packages Within D Days,Maximum Running Time of N Computers,Search in Rotated Sorted Array,Find First and Last Position of Element in Sorted Array,Search in Rotated Sorted Array II","Binary Search,Greedy"
1930,Maximum Number of Consecutive Values You Can Make,Medium,Patching Array,"Array,Greedy"
1931,Shortest Path in a Hidden Grid,Medium,"Robot Room Cleaner,Minimum Path Cost in a Hidden Grid","Depth-First Search,Breadth-First Search,Graph,Interactive"
1932,Grand Slam Titles,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1933,Number of Different Integers in a String,Easy,"Isomorphic Strings,Word Pattern,Buddy Strings,Uncommon Words from Two Sentences,Count Vowel Substrings of a String","Hash Table,String"
1934,Evaluate the Bracket Pairs of a String,Medium,"Group Shifted Strings,Find Duplicate File in System,Maximum Size Subarray Sum Equals k,Find All Duplicates in an Array,4Sum II","Array,Hash Table,String"
1935,Minimum Number of Operations to Reinitialize a Permutation,Medium,"Find Missing Observations,Find Three Consecutive Integers That Sum to a Given Number,Multiply Strings,Fraction Addition and Subtraction,Solve the Equation","Array,Math,Simulation"
1936,Maximize Number of Nice Divisors,Hard,Integer Break,"Math,Recursion"
1937,Maximize the Beauty of the Garden,Hard,"Minimum Health to Beat Game,Split Array with Equal Sum,Stamping the Grid,Maximize Number of Subsequences in a String,Product of Array Except Self","Array,Greedy,Prefix Sum"
1938,Minimum Operations to Make the Array Increasing,Easy,Maximum Product After K Increments,"Array,Greedy"
1939,Queries on Number of Points Inside a Circle,Medium,"Rectangle Area,Largest Triangle Area,Erect the Fence,Erect the Fence II,Rectangle Overlap","Array,Math,Geometry"
1940,Maximum XOR for Each Query,Medium,"Can Make Palindrome from Substring,Product of Array Except Self,Range Addition,Describe the Painting,Maximum Sum Score of Array","Array,Bit Manipulation,Prefix Sum"
1941,Minimum Number of Operations to Make String Sorted,Hard,"Vowels of All Substrings,Unique Paths,Find Triangular Sum of an Array,Find the Closest Palindrome,Abbreviating the Product of a Range","Math,String,Combinatorics"
1942,Primary Department for Each Employee,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1943,Count Pairs of Equal Substrings With Minimum Difference,Medium,"Longest Palindrome,Longest Palindrome by Concatenating Two Letter Words,Group Shifted Strings,Find Duplicate File in System,Array of Doubled Pairs","Hash Table,String,Greedy"
1944,Truncate Sentence,Easy,"Shortest Word Distance,Check If Two String Arrays are Equivalent,Maximum Number of Words Found in Sentences,Counting Words With a Given Prefix,Flip Game","Array,String"
1945,Finding the Users Active Minutes,Medium,"Maximum Size Subarray Sum Equals k,Find All Duplicates in an Array,4Sum II,Brick Wall,Count Good Meals","Array,Hash Table"
1946,Minimum Absolute Sum Difference,Medium,"Data Stream as Disjoint Intervals,Exam Room,Brightest Position on Street,Find Right Interval,Magnetic Force Between Two Balls","Array,Binary Search,Sorting,Ordered Set"
1947,Number of Different Subsequences GCDs,Hard,Find Greatest Common Divisor of Array,"Array,Math,Counting,Number Theory"
1948,Rearrange Products Table,Easy,Product's Price for Each Store,Database
1949,Implement Trie II (Prefix Tree),Medium,"Implement Trie (Prefix Tree),Encrypt and Decrypt Strings","Hash Table,String,Design,Trie"
1950,Sign of the Product of an Array,Easy,"Plus One,Range Addition II,Add to Array-Form of Integer,Sum of Digits in the Minimum Number,Palindrome Number","Array,Math"
1951,Find the Winner of the Circular Game,Medium,"Find Missing Observations,Pow(x, n),Time Needed to Buy Tickets,Find Three Consecutive Integers That Sum to a Given Number,Multiply Strings","Array,Math,Recursion,Queue,Simulation"
1952,Minimum Sideway Jumps,Medium,Frog Jump,"Array,Dynamic Programming,Greedy"
1953,Finding MK Average,Hard,"Find Median from Data Stream,Kth Largest Element in a Stream,Sequentially Ordinal Rank Tracker","Design,Queue,Heap (Priority Queue),Ordered Set"
1954,Replace All Digits with Characters,Easy,Shifting Letters,String
1955,Seat Reservation Manager,Medium,Design Phone Directory,"Design,Heap (Priority Queue)"
1956,Maximum Element After Decreasing and Rearranging,Medium,"Wiggle Sort,Minimum Number of Arrows to Burst Balloons,Campus Bikes,Put Boxes Into the Warehouse I,Put Boxes Into the Warehouse II","Array,Greedy,Sorting"
1957,Closest Room,Hard,Most Beautiful Item for Each Query,"Array,Binary Search,Sorting"
1958,Ad-Free Sessions,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1959,Minimum Path Cost in a Hidden Grid,Medium,"Robot Room Cleaner,Shortest Path in a Hidden Grid","Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Interactive"
1960,Check if the Sentence Is Pangram,Easy,"Isomorphic Strings,Word Pattern,Buddy Strings,Uncommon Words from Two Sentences,Count Vowel Substrings of a String","Hash Table,String"
1961,Maximum Ice Cream Bars,Medium,"Wiggle Sort,Minimum Number of Arrows to Burst Balloons,Campus Bikes,Put Boxes Into the Warehouse I,Put Boxes Into the Warehouse II","Array,Greedy,Sorting"
1962,Single-Threaded CPU,Medium,Parallel Courses III,"Array,Sorting,Heap (Priority Queue)"
1963,Find XOR Sum of All Pairs Bitwise AND,Hard,"Total Hamming Distance,Sum of Two Integers,Prime Number of Set Bits in Binary Representation,Number of Steps to Reduce a Number to Zero,Encode Number","Array,Math,Bit Manipulation"
1964,Find Interview Candidates,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1965,Sum of Digits in Base K,Easy,"Palindrome Number,Ugly Number,Perfect Number,Self Dividing Numbers,Confusing Number",Math
1966,Frequency of the Most Frequent Element,Medium,Find All Lonely Numbers in the Array,"Array,Binary Search,Greedy,Sliding Window,Sorting,Prefix Sum"
1967,Longest Substring Of All Vowels in Order,Medium,Count Vowel Substrings of a String,"String,Sliding Window"
1968,Maximum Building Height,Hard,"Abbreviating the Product of a Range,Find the Closest Palindrome,Minimum Moves to Equal Array Elements,Beautiful Arrangement II,Escape The Ghosts","Array,Math"
1969,Maximum Number of Accepted Invitations,Medium,"Word Search,Sudoku Solver,Combination Sum,Combination Sum II,Permutations","Array,Backtracking,Matrix"
1970,Sorting the Sentence,Easy,Check if Numbers Are Ascending in a Sentence,"String,Sorting"
1971,Incremental Memory Leak,Medium,"Pour Water,Walking Robot Simulation,Average Waiting Time,Decode the Slanted Ciphertext,Execution of All Suffix Instructions Staying in a Grid",Simulation
1972,Rotating the Box,Medium,"Next Permutation,Remove Duplicates from Sorted Array II,Interval List Intersections,Rotate Array,3Sum","Array,Two Pointers,Matrix"
1974,Find Customers With Positive Revenue this Year,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1975,Minimum Distance to the Target Element,Easy,"Missing Ranges,Summary Ranges,Max Consecutive Ones,Longest Continuous Increasing Subsequence,1-bit and 2-bit Characters",Array
1976,Splitting a String Into Descending Consecutive Values,Medium,"Restore IP Addresses,Additive Number,Split Array into Fibonacci Sequence,Find Unique Binary String,Combinations","String,Backtracking"
1977,Minimum Interval to Include Each Query,Hard,"The Skyline Problem,K-th Smallest Prime Fraction,Employee Free Time,Kth Smallest Element in a Sorted Matrix,Two Best Non-Overlapping Events","Array,Binary Search,Line Sweep,Sorting,Heap (Priority Queue)"
1978,Minimum Adjacent Swaps to Reach the Kth Smallest Number,Medium,Next Permutation,"Two Pointers,String,Greedy"
1979,Maximum Number of People That Can Be Caught in Tag,Medium,Minimum Number of Buckets Required to Collect Rainwater from Houses,"Array,Greedy"
1980,Faulty Sensor,Easy,"Remove Duplicates from Sorted Array,Remove Element,Move Zeroes,Find First Palindromic String in the Array,Merge Sorted Array","Array,Two Pointers"
1981,Maximum Transaction Each Day,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1982,Remove Duplicates From an Unsorted Linked List,Medium,"Remove Duplicates from Sorted List II,Remove Duplicates from Sorted List","Hash Table,Linked List"
1983,Maximum Population Year,Easy,"Count Number of Pairs With Absolute Difference K,Most Frequent Number Following Key In an Array,Kth Distinct String in an Array,Count Common Words With One Occurrence,Number of Good Pairs","Array,Counting"
1984,Maximum Distance Between a Pair of Values,Medium,Two Furthest Houses With Different Colors,"Array,Two Pointers,Binary Search,Greedy"
1985,Maximum Subarray Min-Product,Medium,"Next Greater Element II,Daily Temperatures,Buildings With an Ocean View,Sum of Subarray Ranges,Largest Rectangle in Histogram","Array,Stack,Monotonic Stack,Prefix Sum"
1986,Largest Color Value in a Directed Graph,Hard,"Parallel Courses III,Find All Possible Recipes from Given Supplies,Parallel Courses,Number Of Ways To Reconstruct A Tree,Sequence Reconstruction","Hash Table,Dynamic Programming,Graph,Topological Sort,Memoization,Counting"
1987,Substrings of Size Three with Distinct Characters,Easy,"Subarrays with K Different Integers,Contains Duplicate II,Longest Substring Without Repeating Characters,Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters","Hash Table,String,Sliding Window,Counting"
1988,Minimize Maximum Pair Sum in Array,Medium,"Container With Most Water,Valid Triangle Number,Most Profit Assigning Work,3Sum,3Sum Closest","Array,Two Pointers,Greedy,Sorting"
1989,Minimum XOR Sum of Two Arrays,Hard,"Choose Numbers From Two Arrays in Range,Maximum AND Sum of Array","Array,Dynamic Programming,Bit Manipulation,Bitmask"
1990,Get Biggest Three Rhombus Sums in a Grid,Medium,Count Fertile Pyramids in a Land,"Array,Math,Sorting,Heap (Priority Queue),Matrix,Prefix Sum"
1991,League Statistics,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1992,Sort Linked List Already Sorted Using Absolute Values,Medium,Sort List,"Linked List,Two Pointers,Sorting"
1993,Sum of All Subset XOR Totals,Easy,"Gray Code,Binary Watch,Subsets,Subsets II,Count Number of Maximum Bitwise-OR Subsets","Array,Math,Backtracking,Bit Manipulation,Combinatorics"
1994,Minimum Number of Swaps to Make the Binary String Alternating,Medium,"Minimum Number of Flips to Make the Binary String Alternating,Minimum Swaps to Make Strings Equal,Largest Number,Minimum Deletions to Make Character Frequencies Unique,Minimum Time to Type Word Using Special Typewriter","String,Greedy"
1995,Finding Pairs With a Certain Sum,Medium,Count Number of Pairs With Absolute Difference K,"Array,Hash Table,Design"
1996,Number of Ways to Rearrange Sticks With K Sticks Visible,Hard,"Unique Paths,Vowels of All Substrings,Find Triangular Sum of an Array,Digit Count in Range,Number of Ways to Divide a Long Corridor","Math,Dynamic Programming,Combinatorics"
1997,Next Palindrome Using Same Digits,Hard,"Next Greater Element III,Find the Closest Palindrome","Two Pointers,String"
1998,Suspicious Bank Accounts,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1999,Longer Contiguous Segments of Ones than Zeros,Easy,"Max Consecutive Ones,Count Subarrays With More Ones Than Zeros,Check if Binary String Has at Most One Segment of Ones",String
2000,Minimum Speed to Arrive on Time,Medium,"Maximum Candies Allocated to K Children,Minimum Skips to Arrive at Meeting On Time,Minimum Time to Complete Trips","Array,Binary Search"
2001,Jump Game VII,Medium,"Jump Game II,Jump Game,Jump Game III,Jump Game IV,Jump Game V,Jump Game VI,Jump Game VII","Two Pointers,String,Prefix Sum"
2002,Stone Game VIII,Hard,"Stone Game,Stone Game II,Stone Game III,Stone Game IV,Stone Game V,Stone Game VI,Stone Game VII,Stone Game VIII,Stone Game IX","Array,Math,Dynamic Programming,Prefix Sum,Game Theory"
2003,Distinct Numbers in Each Subarray,Medium,"Maximum Erasure Value,Number of Unique Flavors After Sharing K Candies,Contains Duplicate II,Longest Substring Without Repeating Characters,Longest Substring with At Most Two Distinct Characters","Array,Hash Table,Sliding Window"
2004,Convert Date Format,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
2005,Check if All the Integers in a Range Are Covered,Easy,"Contiguous Array,Subarray Sum Equals K,Subarray Sums Divisible by K,Make Sum Divisible by P,Intervals Between Identical Elements","Array,Hash Table,Prefix Sum"
2006,Find the Student that Will Replace the Chalk,Medium,"Plates Between Candles,Product of Array Except Self,Range Addition,Describe the Painting,Maximum Sum Score of Array","Array,Binary Search,Simulation,Prefix Sum"
2008,Minimum Cost to Change the Final Value of Expression,Hard,"Longest Valid Parentheses,Number of Ways to Divide a Long Corridor,Minimum Deletions to Make String Balanced,Digit Count in Range,The Score of Students Solving Math Expression","Math,String,Dynamic Programming,Stack"
2009,Longest Word With All Prefixes,Medium,Longest Word in Dictionary,"Depth-First Search,Trie"
2010,Check if Word Equals Summation of Two Words,Easy,"Flip Game,Detect Capital,Longest Uncommon Subsequence I,Student Attendance Record I,To Lower Case",String
2011,Maximum Value after Insertion,Medium,"Minimum Number of Flips to Make the Binary String Alternating,Minimum Swaps to Make Strings Equal,Largest Number,Minimum Deletions to Make Character Frequencies Unique,Minimum Time to Type Word Using Special Typewriter","String,Greedy"
